Protein.Group	C:\DIA-NN\AOESB2025\THF-2-01.mzML	C:\DIA-NN\AOESB2025\THF-2-02.mzML	C:\DIA-NN\AOESB2025\THF-2-03.mzML	C:\DIA-NN\AOESB2025\THF-2-04.mzML	C:\DIA-NN\AOESB2025\THF-2-05.mzML	C:\DIA-NN\AOESB2025\THF-2-06.mzML	C:\DIA-NN\AOESB2025\THF-2-07.mzML	C:\DIA-NN\AOESB2025\THF-2-08.mzML	C:\DIA-NN\AOESB2025\THF-2-09.mzML	C:\DIA-NN\AOESB2025\THF-2-10.mzML	C:\DIA-NN\AOESB2025\THF-2-11.mzML	C:\DIA-NN\AOESB2025\THF-2-12.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-01.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-02.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-03.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-04.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-05.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-06.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-07.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-08.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-09.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-10.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-11.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-12.mzML
Q0K998	62993138.7998765	50566339.8924202	43042642.4026108	54018742.2054723	41134133.7750757	48840581.4135017	62735173.8677406	53707147.1268869	55053005.7111559	28390765.1988576	28152208.1135246	22373317.7898489	7	6	5	4	6	6	6	6	6	4	5	5
Q0K999	26479480.8626727	36623101.6226111	39603905.2382902	29990776.2522646	36674440.6879328	30524766.454271	44159218.5619384	49125652.8626953	49184907.6938962	17153088.9097993	15703390.8464487	17179330.1107767	5	6	7	3	7	5	6	7	7	4	4	4
Q0K9A3	27323295.0426039	27047281.8074387	25320569.1904249	31750959.5468913	29347394.2911862	26013358.5257942	25072867.4498444	23925807.2464992	24318848.8119635	41572887.8064227	43494514.2452164	42140328.0575682	14	13	15	9	11	10	15	13	13	15	15	15
Q0K9A4	6159943.57693651	5259346.2826868	5494596.75894489	2793296.08683492	2607116.99366187	1478265.19259957	NA	1858356.87290945	2615236.52887749	4644784.78455136	4478780.51404448	2500286.14495936	2	2	2	1	2	1	0	1	1	2	2	1
Q0K9A6	42892800.0008154	36591795.3936188	36067731.0107149	20714200.0003937	18778100.000357	19715400.0003747	28127000.0005348	27789100.0005282	32305657.4342981	8720080.00016575	9700420.00018439	9378530.00017827	1	2	2	1	1	1	1	1	2	1	1	1
Q0K9A7	69125438.3352221	58776794.6528138	55101196.8844807	29636278.1804502	26468526.5234599	29001430.6884292	49715390.4691934	44350692.9958949	44103364.1283554	19124582.1304541	20657271.7513723	20828098.6038853	9	8	9	6	8	7	9	8	9	6	7	7
Q0K9A9	15809061.4908475	15574935.9442137	15609471.2353259	6660332.82697532	4989368.90617715	6047076.65808683	11452296.1023602	11213332.0304324	10715795.0385535	4804695.29926064	4907222.78449575	5362012.30270819	8	7	7	4	5	4	6	7	7	5	5	3
Q0K9B0	33501112.8922996	32836385.2793613	29778366.9099347	16281200.6808554	12873737.9550296	16106758.1621104	29018761.3990057	24627714.7733273	24312776.1214177	17005807.1533601	17198337.8068766	16687571.4993307	8	8	6	7	6	5	8	7	7	7	8	7
Q0K9B1	5168300	NA	25873099.99963	NA	NA	NA	34966099.9995001	NA	NA	12932099.9998151	8249559.99988206	NA	1	0	1	0	0	0	1	0	0	1	1	0
Q0K9B3	86836451.0048784	79403085.9832342	76037441.9887215	80164802.4951611	72529592.4682231	77440230.0832431	75366430.6251653	68858050.2418524	70615879.8549518	57827727.0831761	59002836.5509904	58231897.6449782	10	10	10	8	11	10	11	12	10	10	9	9
Q0K9B4	15868300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0
Q0K9B5	9896679.52980851	11167102.7132691	12867190.6849702	10715872.1036203	13230187.2461526	9451093.78197825	10216609.0013401	10549709.2730518	9479767.88205357	14081845.4471989	15963663.0270045	14947707.4673437	4	4	4	3	4	2	4	4	4	4	4	4
Q0K9B6	81667595.714451	77337742.1648422	76923152.9423382	56783007.8337834	53915680.6795266	58456551.7668185	65885785.769982	69059520.627213	68417934.0737248	170865229.701402	175638870.704381	170310089.228691	41	43	48	36	39	34	45	45	46	53	52	52
Q0K9B7	128067895.029961	104183948.930972	95376686.9746988	101665649.222678	89503725.8807273	104113186.983306	99963690.6441892	90310848.1351969	96458022.242651	140826976.061369	132057794.903455	119185745.986436	11	12	12	8	9	8	11	11	11	11	12	12
Q0K9B8	422916151.18785	435624081.80432	462343598.317207	518947660.779287	513767314.454827	500988698.336177	466636467.029545	506934567.937583	494007655.256424	559039866.322259	558726658.036275	584576956.714889	44	41	47	35	38	39	45	45	46	50	48	48
Q0K9B9	374758991.943137	376746960.452748	386970927.674465	369171526.746844	384786029.936497	366627569.901294	359737262.061874	369467625.835973	360136867.388032	476782528.163777	483842841.458594	492704513.516019	62	61	65	60	62	61	66	67	69	68	73	68
Q0K9C0	95964916.9135238	83721760.1606482	71759281.6992599	74829019.3912909	60592374.2751823	74475407.8145121	85310208.1095783	70827098.6178497	75445289.4838526	137197556.464572	133997291.582582	128711239.239081	5	5	5	5	5	5	5	5	5	5	5	5
Q0K9C1	21586456.6912603	20716271.4216199	18746842.9173379	13425410.443749	10549396.3147192	14247043.3127333	14610799.1752288	13541985.7984217	13232186.577035	54077332.4339941	52847443.5821736	50700215.5700382	9	9	9	5	6	7	7	6	7	11	11	11
Q0K9C2	NA	11545917.5184444	5725105.79168884	NA	NA	NA	5700309.50087411	9458336.31308356	NA	33791514.5942777	36726720.8932405	38142420.4105692	0	3	1	0	0	0	1	1	0	4	4	4
Q0K9C3	12683500.0002235	10816900.0001906	9257113.03063363	12984900.0002287	10800000.0001903	14168000.0002496	9242270.00016285	7803970.18079487	8009860.00014114	14341077.2013298	14456706.9507221	14155643.6928784	1	1	2	1	1	1	1	2	1	2	2	2
Q0K9C4	11776572.2968578	9494292.0583	9799610.18573179	14055065.8265352	15485713.4767103	16690672.8000784	10016736.0603945	7684009.04097301	11162947.2442798	12714438.678599	12473430.8509018	12786214.0491388	2	2	5	2	4	1	5	5	2	5	5	5
Q0K9C5	35892131.0671813	30221590.4254408	27072995.0971492	45551962.4400645	36227603.9275098	44939355.4663261	34936971.9741113	31522556.8991312	33127768.2092376	50993401.8502918	51984499.8906467	45279374.935839	6	5	5	5	5	6	5	5	5	6	6	6
Q0K9C6	NA	456456	NA	NA	832456	NA	445573	491484	NA	824458	650377	686731	0	1	0	0	1	0	1	1	0	1	1	1
Q0K9C8	NA	NA	NA	NA	NA	NA	NA	NA	NA	584103999.992539	593439808.044627	648270893.066281	0	0	0	0	0	0	0	0	0	25	25	25
Q0K9C9	NA	NA	NA	NA	NA	NA	NA	NA	NA	268050743.703666	269595627.837219	264157769.712629	0	0	0	0	0	0	0	0	0	26	27	28
Q0K9D0	NA	NA	NA	NA	NA	NA	NA	NA	NA	8288033.15740263	8248180.21408947	8736255.11434225	0	0	0	0	0	0	0	0	0	2	2	2
Q0K9D1	145409310.108857	169415850.125547	196629135.099315	155466837.434866	195640958.512347	156041215.294205	146798856.282869	160695366.387302	151037213.871291	290597701.674525	307515303.090768	314902519.16701	30	32	35	26	31	28	30	32	33	37	38	37
Q0K9D4	32986866.928348	38980841.3590708	39681468.50447	29827316.078123	30150010.2954808	28200468.915884	36226140.3659492	39294831.889013	36205615.1109064	57782969.753265	62681159.9105376	61535099.2594237	12	13	16	9	14	11	14	14	14	14	14	16
Q0K9D5	54833033.4002505	51254202.3819644	54329355.923707	97264437.0264012	98407656.2396295	92361447.3290772	115747179.528274	121383917.361674	121682524.560803	5676544.73092301	6716029.39960883	6410621.23859628	11	9	10	9	9	9	11	11	11	3	3	4
Q0K9D6	19768680.3800524	20166389.8303539	18156640.3324267	16462647.2800341	12407198.3614836	15662612.0562898	25167962.5444571	24292034.8251574	26137674.0123553	30886280.8093894	29659354.4043352	29197493.8288838	6	7	8	5	6	6	7	7	8	6	6	6
Q0K9D8	4441526.15329209	3369935.52592792	3092664.11727098	NA	3155095.3435862	4145972.71933192	NA	2906954.99237501	1506735.58470988	4140523.38837302	4257253.67008149	3739375.24633545	2	2	2	0	1	1	0	1	1	1	2	1
Q0K9D9	5023609.69541678	6015377.98515566	5552900.46749629	4121329.87440858	2801307.87737153	3882027.64415882	5714256.72821355	5377886.91898743	5828517.93425213	2887587.61999886	3098712.11997172	3800478.69753066	3	3	3	2	1	2	3	3	3	2	3	3
Q0K9E0	2089510	1803520	987058.999999999	1638500	964914	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	0	0	0	0	0	0	0
Q0K9E1	231339379.941666	289852529.393041	281264492.931151	70758613.4286724	129105643.158571	100138894.432815	185475579.079671	181621793.040927	181124851.925534	411907191.733868	403403931.577049	423851032.252329	6	6	6	3	3	3	4	4	4	6	6	6
Q0K9E3	5835903.56241701	6830957.89617326	7132018.58179225	20657288.4941303	21886966.0916697	19771835.7756169	6049144.31902492	7573077.31917412	7213498.71310027	5828032.77372421	5827718.69986793	5567239.12805076	6	7	9	10	11	10	8	8	8	8	8	7
