Protein.Group	C:\DIA-NN\AOESB2025\THF-2-01.mzML	C:\DIA-NN\AOESB2025\THF-2-02.mzML	C:\DIA-NN\AOESB2025\THF-2-03.mzML	C:\DIA-NN\AOESB2025\THF-2-04.mzML	C:\DIA-NN\AOESB2025\THF-2-05.mzML	C:\DIA-NN\AOESB2025\THF-2-06.mzML	C:\DIA-NN\AOESB2025\THF-2-07.mzML	C:\DIA-NN\AOESB2025\THF-2-08.mzML	C:\DIA-NN\AOESB2025\THF-2-09.mzML	C:\DIA-NN\AOESB2025\THF-2-10.mzML	C:\DIA-NN\AOESB2025\THF-2-11.mzML	C:\DIA-NN\AOESB2025\THF-2-12.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-01.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-02.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-03.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-04.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-05.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-06.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-07.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-08.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-09.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-10.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-11.mzML	UniquePeptides_C:\DIA-NN\AOESB2025\THF-2-12.mzML
Q0K5J6	15890976.8325331	15064697.4052609	14844015.4770344	20097565.5068124	19613803.4699214	20806800.430581	15533339.2387716	15577280.1287731	14114581.1750843	7620804.80194743	6359562.64798964	7805745.7485152	8	9	7	7	8	7	7	7	8	4	7	7
Q0K5J7	6500692.73416618	7355688.12195763	7579777.809872	5048480.00008668	4560900.00007831	5432200.00009326	5643949.02436605	5474290.00009399	5953540.00010225	4116310.00007068	3880770.00006663	4191470.00007196	2	2	2	1	1	1	2	1	1	1	1	1
Q0K5J8	13005616.0903111	14137426.9407977	14702467.8041401	37394859.6214179	36696533.0632221	34864648.3018932	22769023.8474755	22634321.247455	23975693.8972955	NA	6336370.00011614	5745660.00010533	2	3	2	3	3	3	3	3	3	0	1	1
Q0K5J9	8726999.99999999	NA	NA	13762300	13333000	13091300	NA	NA	6120200	NA	NA	NA	1	0	0	1	1	1	0	0	1	0	0	0
Q0K5K0	180921922.01316	184927004.794624	178427649.986861	149265194.528316	127531037.258692	145983134.011023	138530903.070653	141670831.274649	134908476.821186	38640968.9933781	44723536.8318732	43081702.5082828	12	12	10	10	10	10	10	12	11	7	7	8
Q0K5K2	202247022.476871	185157958.318954	184954619.646732	494853565.958707	438331783.665557	488308724.930246	336114070.132472	312142977.513797	315650520.742545	5673848.70807039	5202136.77789677	5672555.43723818	10	12	15	15	18	16	18	18	18	2	2	2
Q0K5K3	225990220.14097	202006018.023925	192472934.38912	587194825.873126	511911865.280353	571429414.993734	514931804.31795	500639382.027574	501463360.77174	8042266.00667519	7409099.55934783	6921769.37517795	17	18	18	18	19	19	19	19	19	3	3	3
Q0K5K4	1658726239.65282	1705479494.58749	1853906045.49477	3339936528.99084	3451566682.14451	3270903116.14112	6429937523.7868	6607334039.73571	6715976784.80917	79572424.9419043	72972733.5558444	95466602.6264545	37	38	43	39	47	41	52	52	50	15	11	13
Q0K5K6	4615900	6257380	7732910	12805900	13772400	13995800	10332500	14396500	12646300	NA	NA	NA	1	1	1	1	1	1	1	1	1	0	0	0
Q0K5K9	118056069.333248	112172254.343048	101976639.57939	500704234.120403	448458333.629834	519158461.950417	354803423.652969	326965882.900275	361007003.599614	22775821.6133506	23368145.3540158	25786811.3436844	17	17	18	23	23	21	22	23	24	7	8	8
Q0K5L1	12050076.5634221	11378300.0000602	10086589.3736453	59894830.4832466	53429169.8061318	64716852.3295264	28006122.0327585	25108429.7298427	26430019.136583	NA	NA	NA	4	3	4	9	10	10	10	8	10	0	0	0
Q0K5L2	13482128.7513077	11749538.2660739	10782999.6366475	78630694.018526	69198832.7304681	72301253.4511741	37291600.2383799	34631567.1155365	35159814.929349	1607238.27025845	3026180.97170841	2429806.33313224	5	4	4	9	9	8	8	9	7	2	2	2
Q0K5L3	3310252.96683811	2534022.6012729	2296227.40204405	2949034.39773494	3217786.81117114	2901407.17076665	1920922.36505583	2173618.12389086	2226873.11295656	1456762.75184071	1510984.4685058	1545480.00002477	2	2	2	3	3	3	2	2	2	3	2	1
Q0K5L6	53233063.8805407	53805234.258405	56115545.9572248	46395417.601435	48553410.7510312	47659473.0141279	44491334.5909928	52032701.8402841	49397242.4677454	54748210.0283249	55083022.2242814	58278015.8461246	25	28	28	19	22	22	26	27	27	28	31	27
Q0K5L7	20090458.2433463	19746184.5228414	18368552.026747	16022687.3021181	17304753.0879738	16803383.7359261	16294388.6411226	15109531.8376309	16491501.6477683	21285984.7756839	22139533.5909343	20941536.4727989	6	6	6	6	5	6	6	6	6	6	6	6
Q0K5L8	43733685.0664318	39529084.4648216	40240247.4344045	40503077.866629	38007955.0778265	44749320.1480358	39050127.1227724	37999819.0742546	37394164.7003531	41957160.6512171	42605970.1588311	44605995.8671591	15	15	15	13	13	14	15	15	15	17	17	17
Q0K5L9	71958639.5020709	73718206.8672437	76134264.8601319	50630786.6097211	54380796.8710125	50031745.3416524	71174828.3784193	72612002.8663619	71984010.6456198	64222095.2802869	64861664.205014	66816503.7750574	17	16	17	11	13	14	16	18	16	15	16	18
Q0K5M2	17548578.5497971	20870301.6823176	27467975.0098569	18279925.3298469	24894331.914639	14881987.7380359	14876954.9647424	21084901.2675233	17258602.1635181	7739983.81207317	9440430.8929334	9804829.55437661	2	2	2	2	2	2	2	2	2	2	2	2
Q0K5M3	714326917.179497	734578341.627918	761394942.948342	693745916.272457	710399729.794886	700492374.342314	537340846.5048	549472548.530913	531110150.270608	494160680.456166	489372003.944184	515211458.335696	29	31	30	27	28	24	28	27	28	27	28	27
Q0K5M4	948972259.228258	875760142.481457	861989167.03667	745664094.25462	793298740.672258	729358458.700307	616377835.297639	582209194.163923	634102479.143834	586671909.321361	536744415.578293	512865170.822535	7	7	7	7	7	7	7	7	7	6	7	7
Q0K5M5	1947700222.30429	1912243065.75613	1906930584.4958	1903539427.96343	1864913344.45979	1807149248.25458	1445004366.9361	1378246352.54148	1391140544.989	1368970184.07891	1355431181.23248	1284472439.41024	69	68	72	64	68	62	69	65	69	66	67	64
Q0K5M6	141712314.569915	148229297.381867	169033958.675331	118913279.451365	181069736.275333	110477412.965783	114992866.751433	134266104.143973	120136334.228438	93569273.1263053	98418140.0941296	96898152.1048899	16	18	18	13	16	14	19	18	16	17	16	17
Q0K5M7	2426025009.02383	2462234735.61189	2604409810.10341	2675572666.37546	2432707942.74147	2432933225.27738	1918448693.3764	1927668219.81211	1922171922.31371	1556091781.21131	1547800557.61333	1475029297.97849	40	37	40	35	39	36	37	39	37	36	34	37
Q0K5M8	1699250662.82861	1790796713.91703	1859963426.9113	1913049138.50622	1830817640.85929	1950601394.52393	1431824971.17926	1467814632.25717	1447328293.62217	1121517690.8226	1122214839.72943	1159718187.25657	23	23	23	23	23	22	22	23	22	21	22	20
Q0K5M9	10269910.4030791	10388006.4399308	10997737.6051167	10472022.9609876	10176478.1435788	10405449.4758812	9321592.2367375	10086752.5159372	10270005.460438	6357603.40759052	6833106.55764088	7843740.3683446	6	7	7	6	6	6	6	6	7	5	3	4
Q0K5N0	39620620.4927086	41169592.9137978	47021906.4785643	40092876.1715102	53981598.6559164	55266826.8506046	38981185.7005263	45337628.5514147	43250855.6989506	31231810.5011884	26012922.1415757	28630624.2140835	2	3	3	2	3	2	3	3	3	2	3	2
Q0K5N1	68203243.9970253	76561740.0196843	85785260.8627884	72571078.7290231	73047386.4998407	67833172.7267752	65654598.9525337	78095480.2667958	70515148.0379357	73062328.848709	68035663.3792982	77179614.8968125	6	5	6	5	6	5	6	6	6	7	7	7
Q0K5N2	15289025.9645432	15437976.4408917	13196793.5247657	9270198.06293093	11952146.7574752	10766097.3304147	12323705.4945494	12119660.6489737	12726048.7343611	15783277.6320668	16107754.7985244	13513634.2980016	8	9	7	4	6	5	7	7	6	7	6	6
Q0K5N3	38825773.2878486	39527381.1554565	37780200.5330166	37722555.4403539	40739627.8629051	41423139.9536239	32831535.8990746	31115543.4029017	31862472.2466501	24938560.1862908	24947222.3446005	23577142.7350813	16	16	16	13	16	14	14	17	15	13	13	12
Q0K5N4	263440411.499121	249983395.540336	244539862.612277	159361394.842568	161256129.625975	164158709.169762	284715054.052798	299628320.590216	291267468.23885	101137889.775678	105308415.017442	109007161.709083	41	44	44	33	37	34	41	44	42	36	35	37
Q0K5N5	184597313.832586	165860803.637527	163840451.848261	123202989.47213	112823431.08603	131759335.179299	150009219.335694	148406752.691496	151445714.337186	157133382.12726	154258940.182011	152438692.617127	16	16	17	13	15	12	17	17	16	19	17	15
Q0K5N6	4769990.00008161	4355301.97896089	4852573.70542778	4330818.92439495	5087865.20030551	4923384.73228155	6669833.21848115	6458642.88970387	5974488.11409814	3197368.13924664	3958810.00006775	NA	1	2	2	2	2	2	2	2	2	2	1	0
Q0K5N7	16257140.4322264	19534212.1370921	20387349.4414155	25002260.8144841	24192130.8491457	24196943.3151695	27202076.2713355	31381213.360376	30526524.2387558	12462540.0025428	14099592.2529587	13469250.5393498	9	7	8	5	7	6	9	9	9	5	6	6
Q0K5N8	16866042.7419047	16877718.1116648	15538383.4900358	23886474.7833808	22485977.1888212	26315580.2992641	45189765.6381553	41605949.0740017	42891871.521207	1824437.43829167	1806845.10529589	2659165.45069766	5	5	5	5	5	5	5	5	5	4	4	3
Q0K5N9	14270618.1082876	12209468.8083241	10476991.865526	75660925.8167576	56198846.5881605	73601190.0713894	69238348.9203503	60648205.2012046	63597835.8753187	6944852.84942485	6369587.79302007	6135488.45649108	4	5	4	5	6	5	6	6	6	4	2	2
Q0K5P0	88436213.9816875	67073249.9225985	56970577.4093661	456234198.339347	312930421.363302	511158938.304037	523496860.895885	429928526.865203	454508387.940474	43327873.4795339	43658807.1612434	41697058.4253735	8	8	6	8	10	10	10	9	10	6	5	6
Q0K5P1	82334858.8570647	80430386.0353046	77423913.9297566	248260299.814613	236709160.755121	263879761.861481	250469238.112571	235907936.62517	245533527.129592	54494453.435434	55416914.890061	54615028.6550696	17	16	20	22	21	21	21	22	21	15	17	15
Q0K5P2	26459503.1463283	23463172.517338	23211378.9890958	10977506447.499	9525972767.75053	10629770366.8207	985402745.317873	984255896.661937	984718239.810405	11458745.1747637	8748752.57114879	10407823.3264426	8	8	7	60	62	62	39	40	38	5	4	5
Q0K5P3	440820414.305743	477353410.125726	498039714.701502	10579425582.5134	10701204412.4554	10968967677.5335	9115506745.9091	9528344889.52659	9396472703.19765	405154418.457847	407243773.164079	400974264.344742	45	45	46	75	83	79	80	83	80	43	46	45
Q0K5P4	463225014.061979	405769857.497966	383953080.959975	4294756042.6437	3654363986.02309	4366064450.64321	4060486426.30787	3804465183.61794	3832876479.78047	333951198.72738	345023770.499728	330305793.42865	10	10	10	12	12	11	11	11	11	11	11	11
Q0K5P5	530471766.616106	517309094.051696	520390714.704429	7864635303.47754	7347731925.87902	7572582473.12063	6504813062.16581	6211568122.18129	6316489248.61677	405330806.835564	379938913.852496	349741282.994057	27	25	27	42	43	42	44	44	42	26	23	23
Q0K5P7	2759754.53325013	2850994.78950055	1347034.20999886	1503776.13230164	1798912.81149585	2058105.39042017	1376510.35998439	NA	328303.372605387	2452140.8901779	1896218.56873805	1752571.69541393	3	2	1	2	2	2	1	0	1	3	2	3
Q0K5Q0	718774715.661537	705209077.357049	681412057.379222	711258104.671783	685461702.984906	670619877.171011	617308942.164624	643828140.9766	621374506.669179	706015654.747157	712270677.19733	684340981.615242	18	17	18	18	19	18	18	19	17	16	17	17
Q0K5Q2	NA	3135482.79470885	2544580.38146766	3427816.87719881	3047010.79936396	1503640.99045122	3062235.81851649	3709046.38614549	3202169.05094449	2671985.87039397	2333717.14697001	2529001.47661384	0	2	2	2	2	1	2	2	1	2	2	2
Q0K5Q3	42062856.1424243	42177182.6688053	38563870.1264761	47570759.74576	45895771.5722348	48091201.0722715	43114123.9497371	43502214.7887308	40638414.8668253	NA	NA	4055655.01861017	9	10	10	9	9	9	9	10	9	0	0	1
Q0K5Q4	13667844.6557893	11117515.4903413	10964725.020201	12415409.379825	13415709.6489669	12753840.1298922	14799497.7750874	11856328.624169	11202827.7886188	NA	NA	NA	2	2	2	2	2	2	1	1	1	0	0	0
Q0K5Q6	5973567.18856366	6296411.41799306	5981437.11227349	5114900.69372902	5474150.3921456	5078353.15307669	5472706.29963065	5611611.80587047	5601883.3602174	5793397.75612865	5266749.37334641	5898713.80747115	5	6	5	3	5	5	4	5	5	5	5	5
Q0K5Q7	23163415.67051	24880023.0956082	25244914.2945658	30982146.6749066	33094822.8554885	31499337.5004039	38517810.8518044	37851225.3335627	34999895.9745244	9820750.10759787	9184749.71169529	10139875.0365718	8	8	8	6	9	6	10	9	10	3	7	4
Q0K5Q8	9631009.99999999	9194769.99999999	6224870	NA	NA	NA	7109709.99999999	NA	NA	9139880	10378800	11040800	1	1	1	0	0	0	1	0	0	1	1	1
Q0K5Q9	15442432.376837	15561650.9071997	14758812.5881857	7538148.11267111	8230284.73307499	7358187.77472375	8181977.36215207	7409361.8058928	7562029.37909477	33912952.155321	32136146.6377615	30321168.0690533	18	19	20	12	14	10	15	14	16	22	22	22
Q0K5R0	66373629.9545195	64921915.8084109	66933326.2974895	66873585.079217	67592948.4430377	74216662.8174332	66088019.9194686	74183413.7869843	69056552.4790951	55946917.8079647	57124524.5359251	56224198.6849226	12	14	14	10	14	9	12	15	13	12	13	13
Q0K5R1	4858365.60820088	4994399.9999801	3176393.80881089	NA	5255359.99997907	5339732.36643963	NA	NA	3704039.14884826	NA	NA	NA	2	1	2	0	1	2	0	0	2	0	0	0
Q0K5R2	NA	NA	NA	NA	1894470	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	2	0	0	0	0	0	0	0
Q0K5R3	14452873.9199523	13262324.3311199	12557584.9368968	150134994.017946	151469851.1886	121369276.457686	33796288.0741998	33892246.2531144	32554845.4347483	6653005.5677573	5790654.51092282	7392216.53357969	5	4	3	12	12	11	9	10	9	3	3	3
Q0K5R4	4603290.12080007	4400360.0805902	4306460.74191847	49216282.1824745	41348317.8373149	49232745.5511905	15375681.8240911	15120325.9467312	15099661.7068878	3755220.8384996	3879788.77875183	4034389.57940166	2	2	2	4	4	3	3	2	3	2	2	2
Q0K5R5	NA	NA	NA	13080307.5758668	15025221.924096	11437310.357282	NA	NA	NA	NA	NA	NA	0	0	0	4	4	3	0	0	0	0	0	0
Q0K5R7	17258743.5785293	17578418.4916402	18281723.3130489	20446890.8017906	22883381.2697745	21059549.0497797	18108818.5331307	16993329.6249719	17442537.933622	14852176.9318955	14536927.1444875	14734585.3231327	8	7	8	7	7	7	7	8	8	7	8	7
Q0K5R9	34591052.4986767	33497646.2935457	32143707.8447066	63834077.6833655	56637308.0342162	58094489.8580834	63150774.9436681	64642011.0540613	64481863.7269553	9795556.55689168	10307583.0193087	10470056.3240197	11	10	11	11	12	11	13	13	13	6	7	6
Q0K5S0	18862813.000419	19232961.8413515	22138969.3758505	44862412.2525064	48851799.4202607	42902681.3591992	48404490.9308164	51924641.2124567	50237373.0621889	9385080.34345602	8435092.19159036	9197497.60517	17	17	17	17	19	17	19	19	19	7	7	5
Q0K5S1	74204816.2172229	72302844.5444925	71151570.9022598	189361437.591078	165181555.431736	190898902.090912	158901951.113442	160004748.662845	153251232.461347	21451879.5851467	23767425.1413099	23544469.6984855	3	3	3	5	6	4	6	6	6	3	3	3
Q0K5S2	28001108.8571374	24876720.9913604	23653774.7190782	23029872.6753394	20309417.3421709	20733983.3287115	25096856.3317793	27370718.7780515	26394430.9898161	20986333.7142865	22842013.4507961	26334786.3065103	4	6	6	6	6	5	5	6	6	6	6	6
Q0K5S3	NA	NA	NA	NA	1292220	NA	NA	NA	NA	1195820	3178390	3267410	0	0	0	0	1	0	0	0	0	1	1	1
Q0K5S4	31723690.5895751	25161508.3198788	23590724.656614	45634758.2420878	38850720.1317805	48063114.1541195	24625860.3287084	21903980.166463	21255376.6254486	225256005.093861	224633436.433045	218540135.618845	9	11	9	11	12	12	10	11	11	18	19	18
Q0K5S5	41344512.6020055	38746017.2128167	37455728.5055176	84026984.2218479	75506480.9647849	80098561.1196167	54138502.7165589	51351342.799058	50999331.0892273	383191181.19769	366960976.964391	386814936.780154	13	17	17	16	19	19	18	19	17	35	35	34
Q0K5S8	508006466.378818	385307476.62033	335026027.011861	405679815.299655	306780703.222226	397383874.880739	451164092.456337	375920526.80863	397661940.565302	298969617.387203	288204931.498456	264681139.571205	6	7	7	7	6	7	7	7	7	6	5	5
Q0K5T0	NA	NA	696526	NA	NA	NA	942767.999999999	927213	865204	NA	NA	NA	0	0	1	0	0	0	1	1	1	0	0	0
Q0K5T1	56452073.9489394	53496167.9835266	49309776.9012225	51666897.4248464	53264455.9761227	58317776.7709262	47277475.1667539	45044142.0645272	46597344.8416419	77794811.6917362	77456586.7152052	73777851.222761	13	13	12	13	12	12	13	13	13	13	13	13
Q0K5T2	51919200	89198999.9999999	85252300.0000001	NA	51665600	NA	50154500.0000001	53935000	56828600	NA	NA	NA	1	1	1	0	1	0	1	1	1	0	0	0
Q0K5T3	23518353.6396034	26075308.6412276	22994506.6033189	22210473.4065742	19924947.4296399	21258609.8651653	21416623.9545304	21175002.9736447	20518108.9967089	19134074.0484699	21083367.0740636	20236976.6534728	2	2	2	2	2	2	2	2	2	2	2	2
Q0K5T5	72619624.8175019	63475230.2858013	75240371.0293541	33101517.911296	78726867.0183971	82190974.5329305	66217032.9694704	70865672.8905357	62381969.9706017	97405282.0151192	94798293.7237585	91243699.8963322	4	5	5	3	5	3	5	5	5	5	5	5
Q0K5T6	171553289.599467	167943089.236803	158366664.098226	187994853.982759	165088203.169035	188025519.731048	182886553.129822	178508152.390556	177873940.515738	189699859.193027	179828736.091532	188789423.33713	17	18	17	15	14	13	17	16	19	17	16	17
Q0K5T8	102319750.716967	101285150.453312	103970425.839709	56642991.4608903	58019432.2878299	58325115.1003187	81335188.292513	85110280.4792412	84223363.8239715	49023159.1999306	46581148.852374	47800968.0259601	16	17	16	11	14	11	16	16	15	14	15	15
Q0K5U1	NA	NA	NA	12431300	NA	NA	7860249.99999999	NA	7539030	NA	NA	NA	0	0	0	1	0	0	1	0	1	0	0	0
Q0K5U3	7687352.09369044	8971917.44500601	9387555.18758882	NA	2757829.99999558	NA	10032499.9999839	10665352.4563629	9177259.99998532	NA	NA	NA	2	3	2	0	1	0	1	2	1	0	0	0
Q0K5U4	35490087.0294898	33618843.4493449	33677722.1504771	NA	10604560.7517958	9194680.00017494	23026361.1159851	27011663.5957148	24555777.4977996	25119031.3629202	27725422.1504432	31154214.2767972	3	3	4	0	2	1	3	3	3	3	3	3
Q0K5U5	131593618.191543	108763255.729025	94884275.938919	33604542.5230873	27224743.356206	32193878.1691357	72689483.4475187	62170002.2979262	73238321.4676098	70923890.4270911	70344626.0837186	74007154.3156933	9	8	9	4	6	4	9	9	8	8	8	8
Q0K5U6	141906820.348186	112101576.140734	93575589.1505135	105304488.952186	82542420.6799117	105012006.154086	126818079.928398	108239522.087919	115991713.748701	104133697.39403	103016254.310337	100641358.503624	6	6	6	5	6	5	6	6	6	6	6	6
Q0K5U7	16335444.8112938	17873236.3989534	21208064.345782	14320798.204507	19311036.076842	15813316.2761414	28108045.5742408	32900240.9374726	29840183.1574508	9548447.27187321	10893302.1590702	10332526.4216684	9	8	9	9	9	9	8	9	9	9	9	8
Q0K5U8	97905790.7594946	98702353.3151224	97810036.7249816	90980129.038776	92782385.1615421	87181704.8541856	141212240.579264	153530856.079915	157520254.928627	59619001.7983642	57870738.8391807	59205245.8937448	6	6	7	4	5	5	8	8	8	6	6	5
Q0K5U9	19587710.5752599	17252477.6447723	14943744.154854	6885069.58621988	10084962.2199467	12863132.3495096	23520546.6254131	20725028.3706014	23525996.6861669	10164222.278259	9549684.64805091	NA	4	4	3	2	3	3	5	5	5	3	2	0
Q0K5V0	19875901.4701134	18416728.8040339	17606320.9057168	15855750.0801822	16738508.635255	16094172.6254088	27241425.0861249	26538832.4625629	25787615.018641	9090722.02591806	9063622.53263088	9590445.5197026	7	6	6	6	5	6	7	7	6	6	6	6
Q0K5V1	46846402.8003201	47635345.993187	47973337.4521118	39841470.4788788	54384668.6630658	44837820.4283782	42940440.4207992	46732134.0491348	46411933.8228187	40669297.483192	42389228.1746733	40319342.7343226	8	9	9	8	7	7	8	9	8	10	10	9
Q0K5V2	5922250	8020450	9439820	7373680	9554609.99999999	9956520.00000001	8162540	6062220	NA	NA	NA	NA	1	1	1	1	1	1	1	1	0	0	0	0
Q0K5V3	12655736.1018608	14577688.5217796	15651707.6948453	13877588.6311225	12886235.7755837	13874171.7145978	9881890.70756195	6843830.07768916	11738082.0093091	8914042.94571794	8705312.63754827	8736293.31510101	2	2	2	2	2	2	2	2	2	2	2	2
Q0K5V4	49031125.2180689	47271555.8055291	46071448.3707145	60189822.0650377	57306888.0072272	50638563.1072604	38636677.7473552	35817264.1314181	41402568.3226853	18068776.7448351	18663226.1401178	17496688.4817167	4	5	5	4	4	5	4	5	4	3	3	2
Q0K5V5	61274036.9443176	50895264.2812167	51511411.9103655	38726774.5257278	28583494.7579969	38507765.9819019	41507358.1894323	35809501.918956	34053360.3763085	41753461.9069734	46170054.0176352	45751540.1391963	6	7	7	5	6	5	7	5	5	7	7	5
Q0K5W1	4840756.09079299	6668903.42744369	7530157.69913376	8160473.98078491	15029788.2693547	10469640.6427564	9050131.07596269	10687774.9668084	8977773.45672894	2575638.20419184	2951052.85752906	2812994.12470353	2	4	4	4	4	4	4	4	3	2	3	3
Q0K5W2	19338686.196253	16651949.7682782	17523065.8851381	31962301.5097238	28709769.9600792	33616678.9393231	25151851.8721817	22879380.1489984	22462052.5962296	10014821.3571291	10861734.6191048	9287512.3396801	6	6	7	6	8	9	9	9	9	8	4	7
Q0K5W3	NA	NA	NA	NA	NA	2335420	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	0	0	0	0	0
Q0K5W4	11155291.6308851	10915811.8199959	10573419.3254784	15826357.7236288	16638357.2131734	18877188.2591054	12578397.6300189	11643566.9318666	12647448.5947871	29008365.3070647	26321443.3335971	25887684.3712778	2	2	2	2	2	2	2	2	2	2	2	2
Q0K5W5	29939123.3932661	29763578.2113638	31757958.2670283	115459993.297466	115761271.957738	132354571.594533	100499166.836642	101534340.610094	100424088.525654	NA	NA	NA	12	18	16	26	30	28	29	30	29	0	0	0
Q0K5W6	15897373.3344613	20043690.6950562	20312542.4348797	16408496.6684135	19601419.7345723	16932059.8925862	16953720.5363179	21575963.0611626	19978383.954971	25010249.0527367	29271222.113661	32520976.4416373	5	5	5	4	4	5	6	6	6	6	6	6
Q0K5W7	18077400.4509469	18361437.5294883	15349990.5427936	33675862.5010553	32250438.6766229	33772300.7265774	20485677.8359037	19546768.2825209	19600882.8888306	10321256.0356688	12466441.9506759	11348303.1435952	9	9	9	9	10	9	9	9	9	3	5	2
Q0K5W8	23901162.900797	23790888.1993784	23937335.6114839	44860089.700345	42346099.1451364	45838410.398667	29049637.9691026	30894226.238677	29101384.3025593	15542446.1869323	14976848.0936751	13732563.6620837	7	9	10	7	12	10	9	12	10	8	8	8
Q0K5W9	45053838.7381997	50265994.4540334	48849074.3014894	89553016.0776121	79637485.1398759	92473778.5727604	47327025.6759682	59180283.0750663	48226315.2546281	25288211.594034	27531263.6263031	26469016.0172749	12	14	14	14	14	14	13	16	13	11	12	10
Q0K5X0	NA	2484610	2260470	NA	9129180.00000001	4714790	3758720	3496680	2971530	1718370	NA	NA	0	1	1	0	1	1	1	1	1	1	0	0
Q0K5X1	13483666.4219621	12216841.9331185	10580214.5323316	24251998.5901471	25250139.0187849	21955318.7592361	12642856.2250265	13921897.6135789	12259158.4722328	5443514.32964296	5636130.12615656	4945223.73586512	4	5	5	7	8	7	6	7	7	3	3	2
Q0K5X2	22289779.4775	20407668.2018948	18891743.2609916	47713498.6466614	45023068.4846532	46801990.9929783	24493580.7917216	23915038.9120546	24368456.7568999	9486139.60649578	10110716.5125151	9311016.13070165	3	6	6	5	6	6	6	6	6	3	3	4
Q0K5X3	14532237.9970141	13114061.6068596	11624789.8458391	10701597.5342613	9253590.58472207	16546934.0978346	13659526.9928068	13967014.7460305	17019926.5947251	12349048.7692889	9940659.52623436	10741019.3070432	2	2	2	2	2	2	2	2	1	1	1	1
Q0K5X4	6722392.32163366	5224609.6305019	5268637.57860398	6771125.34292268	5239941.41596294	5827400.55664251	5470365.94134184	5478270.38762981	4951859.99318825	3176748.45961003	3374882.73697819	3604514.13080617	4	4	4	3	4	3	4	4	4	3	3	3
Q0K5X5	NA	NA	NA	NA	1428670	NA	NA	940073	NA	NA	NA	NA	0	0	0	0	1	0	0	1	0	0	0	0
Q0K5X6	4812510.00002211	4436251.4732907	4578467.2039494	NA	8367319.20404413	6860410.00003151	5963270.0000274	7944736.00047443	6573460.00003018	NA	2729740.00001254	NA	1	2	2	0	2	1	1	2	1	0	1	0
Q0K5X7	4625352.37187165	2407427.29881519	2665891.49835087	3127622.13607437	3395256.00301177	NA	3821973.22923616	2212831.10771082	3062369.52964686	NA	1903627.91107711	553695.342846551	2	2	1	1	1	0	2	1	2	0	1	1
Q0K5X9	5898824.91244633	5420642.46208453	5197923.79051629	NA	NA	NA	NA	NA	NA	3937142.91028738	3396961.99686052	3496964.71871187	3	3	3	0	0	0	0	0	0	3	2	2
Q0K5Y0	39091361.6216794	32003582.5066353	29688153.1714479	58148485.3378574	45991950.4256812	57841135.9693447	36307227.1186237	34136471.1416226	36545024.8360402	19169115.5270561	19611747.1146501	17846503.119129	6	6	6	6	6	6	6	6	6	5	4	3
Q0K5Y1	4797970	5401750	4656230	775214.000000001	676490	1392320	2202780	2102350	2239650	2252410	2917010	3217610	1	1	1	1	1	1	1	1	1	1	1	1
Q0K5Y2	NA	7949934.8530503	7216426.16867957	9202495.59878753	5819170.96136379	NA	NA	5960860.82595457	6370902.5255022	NA	NA	NA	0	2	2	1	2	0	0	2	2	0	0	0
Q0K5Y3	16793588.5578789	16597195.5912352	17724074.8409244	13476982.7689791	15251019.7970491	15214650.8152948	12177204.6290352	11583446.6212667	11162023.4873168	13592474.6640256	14101158.5421041	13837196.770132	7	8	8	8	7	7	7	7	7	8	8	8
Q0K5Y4	10135198.1729693	10932046.7725059	8586765.02863823	5080397.83495361	6882373.07945109	5419582.10445804	8927733.5744859	8848765.4625092	9739900.79837527	11333270.4199351	10456432.160147	11104721.4248012	2	2	2	1	2	1	3	2	1	3	3	3
Q0K5Y5	3530233.27317524	5652336.49910085	7412880.48121816	4168880.00007107	4901316.90644068	4769310.00008131	5303960.00009044	4296486.80853058	4592070.00007829	6366738.12879346	6475654.88559118	6680977.42394875	2	2	2	1	2	1	1	2	1	2	2	2
Q0K5Y7	2696140	3618020	4606300	2854490	3488100	3570480	5490000	5654760	4871780	2775400	2671750	2400070	1	1	1	1	1	1	1	1	1	1	1	1
Q0K5Y8	6476815.16591458	4800982.25241253	4974194.06449282	11483621.2608509	9297207.10828941	11373047.7611504	4093443.90106909	3685720.61660217	4069414.21888943	1336423.0351678	1938899.38470475	1403494.14375338	2	3	3	5	5	5	3	4	4	2	2	3
Q0K5Y9	NA	NA	NA	NA	17617500	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	0	0	0	0	0	0	0
